reference,code_barres,produit,prix_tnd,provenance_prix,source_produit,source_image
BB-WEB-46,8697711601118,MAGIC TOUCH,"56,000",biobalance.tn,https://biobalance.tn/maquillage/46-customizable-mug.html,https://biobalance.tn/88-large_default/customizable-mug.jpg
BB-WEB-52,,Repulpeur de lèvres - N°03 Lipojen - Hot Chocolate,"44,500",biobalance.tn,https://biobalance.tn/maquillage/52-customizable-mug.html,https://biobalance.tn/115-large_default/customizable-mug.jpg
BB-WEB-54,,Repulpeur Lèvres Rose Venus N°04,"44,500",biobalance.tn,https://biobalance.tn/maquillage/54-customizable-mug.html,https://biobalance.tn/117-large_default/customizable-mug.jpg
BB-WEB-55,,Repulpeur Lèvres Rosy Petal N°05,"44,500",biobalance.tn,https://biobalance.tn/maquillage/55-customizable-mug.html,https://biobalance.tn/119-large_default/customizable-mug.jpg
BB-WEB-56,,Repulpeur Lèvres High Society N°07,"44,500",biobalance.tn,https://biobalance.tn/maquillage/56-customizable-mug.html,https://biobalance.tn/121-large_default/customizable-mug.jpg
BB-WEB-57,,Repulpeur Lèvres Hot Red N°10,"44,500",biobalance.tn,https://biobalance.tn/maquillage/57-customizable-mug.html,https://biobalance.tn/123-large_default/customizable-mug.jpg
BB-WEB-58,,Repulpeur Lèvres Flamingo Love N°31,"44,500",biobalance.tn,https://biobalance.tn/maquillage/58-customizable-mug.html,https://biobalance.tn/125-large_default/customizable-mug.jpg
BB-WEB-59,,Repulpeur Lévres Coral Dream N°32,"44,500",biobalance.tn,https://biobalance.tn/maquillage/59-customizable-mug.html,https://biobalance.tn/127-large_default/customizable-mug.jpg
BB-WEB-60,,Repulpeur Lèvres Fuchia Vibes N°34,"44,500",biobalance.tn,https://biobalance.tn/maquillage/60-customizable-mug.html,https://biobalance.tn/129-large_default/customizable-mug.jpg
BB-WEB-61,,Repulpeur Lèvres Candy Crush N°35,"44,500",biobalance.tn,https://biobalance.tn/maquillage/61-customizable-mug.html,https://biobalance.tn/131-large_default/customizable-mug.jpg
BB-WEB-62,,Repulpeur Lèvres Cinnamon Roll N°37,"44,500",biobalance.tn,https://biobalance.tn/maquillage/62-customizable-mug.html,https://biobalance.tn/133-large_default/customizable-mug.jpg
BB-WEB-23,8697711701016,DERMASOOTHE SOOTHING FACIAL CLEANSING GEL,"38,000",biobalance.tn,https://biobalance.tn/nettoyants-visage/23-customizable-mug.html,https://biobalance.tn/30-large_default/customizable-mug.jpg
BB-WEB-27,8697711621819,HELLO CLEAN HYALURONIC HYDRATION MICELLAR WATER,"38,000",biobalance.tn,https://biobalance.tn/nettoyants-visage/27-customizable-mug.html,https://biobalance.tn/38-large_default/customizable-mug.jpg
BB-WEB-28,8697711701009,DERMASEBUM PURIFYING FACIAL CLEANSING GEL,"38,000",biobalance.tn,https://biobalance.tn/nettoyants-visage/28-customizable-mug.html,https://biobalance.tn/40-large_default/customizable-mug.jpg
BB-WEB-34,8697711621833,HELLO CLEAN CERAMIDE BOOSTER BI-PHASE MICELLAR WATER,"38,000",biobalance.tn,https://biobalance.tn/nettoyants-visage/34-customizable-mug.html,https://biobalance.tn/53-large_default/customizable-mug.jpg
BB-WEB-35,8697711621826,HELLO CLEAN NIACINAMIDE CLARITY MICELLAR WATER,"38,000",biobalance.tn,https://biobalance.tn/nettoyants-visage/35-customizable-mug.html,https://biobalance.tn/55-large_default/customizable-mug.jpg
BB-WEB-43,8697711602313,GLOW SKIN C SUPER TONER,"39,000",biobalance.tn,https://biobalance.tn/nettoyants-visage/43-customizable-mug.html,https://biobalance.tn/80-large_default/customizable-mug.jpg
BB-WEB-44,8697711602337,PORE TIGHT SUPER TONER,"39,000",biobalance.tn,https://biobalance.tn/nettoyants-visage/44-customizable-mug.html,https://biobalance.tn/84-large_default/customizable-mug.jpg
BB-WEB-63,,ACNEVIT ANTI-ACNE CLEANSING GEL,"41,000",biobalance.tn,https://biobalance.tn/nettoyants-visage/63-customizable-mug.html,https://biobalance.tn/135-large_default/customizable-mug.jpg
BB-WEB-36,8697711600814,DISCOLORATION FREE LUMISKIN 4% SUPER SERUM,"74,000",biobalance.tn,https://biobalance.tn/serum/36-customizable-mug.html,https://biobalance.tn/57-large_default/customizable-mug.jpg
BB-WEB-37,8697711600760,PURE VITAMIN C L-ASCORBIC ACID 10% SUPER SERUM,"74,000",biobalance.tn,https://biobalance.tn/serum/37-customizable-mug.html,https://biobalance.tn/59-large_default/customizable-mug.jpg
BB-WEB-38,8697711600777,HYALURONIC 3D HYALURONIC ACID 1% SUPER SERUM,"74,000",biobalance.tn,https://biobalance.tn/serum/38-customizable-mug.html,https://biobalance.tn/61-large_default/customizable-mug.jpg
BB-WEB-39,8697711600876,NIACINAMIDE-G SUPER SERUM,"74,000",biobalance.tn,https://biobalance.tn/serum/39-customizable-mug.html,https://biobalance.tn/63-large_default/customizable-mug.jpg
BB-WEB-40,8697711600845,BETA SOLUTION PURE SALICYLIC ACID 2% SUPER SERUM,"74,000",biobalance.tn,https://biobalance.tn/serum/40-customizable-mug.html,https://biobalance.tn/67-large_default/customizable-mug.jpg
BB-WEB-41,8697711600890,CAFFEINE SOLUTION 5% + EGCG + HYALURONIC ACID SUPER SERUM,"74,000",biobalance.tn,https://biobalance.tn/serum/41-customizable-mug.html,https://biobalance.tn/71-large_default/customizable-mug.jpg
BB-WEB-42,8697711602122,DEEP PEELING SUPER SERUM,"74,000",biobalance.tn,https://biobalance.tn/serum/42-customizable-mug.html,https://biobalance.tn/75-large_default/customizable-mug.jpg
BB-WEB-53,,ACNEVIT ANTI-ACNE SERUM,"67,000",biobalance.tn,https://biobalance.tn/serum/53-customizable-mug.html,https://biobalance.tn/113-large_default/customizable-mug.jpg
BB-WEB-64,8697711600852,NATURAL RETINOL’E SUPER SERUM,"74,000",biobalance.tn,https://biobalance.tn/serum/64-customizable-mug.html,https://biobalance.tn/138-large_default/customizable-mug.jpg
BB-WEB-47,8697711700163,ORGANIC POMEGRANATE SHAMPOO,"39,500",biobalance.tn,https://biobalance.tn/soins-capillaires/47-customizable-mug.html,https://biobalance.tn/90-large_default/customizable-mug.jpg
BB-WEB-48,8697711700156,ORGANIC LAVENDER SHAMPOO,"39,500",biobalance.tn,https://biobalance.tn/soins-capillaires/48-customizable-mug.html,https://biobalance.tn/94-large_default/customizable-mug.jpg
BB-WEB-49,8697711700170,ORGANIC CITRUS SHAMPOO,"39,500",biobalance.tn,https://biobalance.tn/soins-capillaires/49-customizable-mug.html,https://biobalance.tn/98-large_default/customizable-mug.jpg
BB-WEB-50,8697711700187,ORGANIC ALOE VERA SHAMPOO,"39,500",biobalance.tn,https://biobalance.tn/soins-capillaires/50-customizable-mug.html,https://biobalance.tn/103-large_default/customizable-mug.jpg
BB-WEB-51,8697711700224,ORGANIC ARGAN OIL CONDITIONER,"42,500",biobalance.tn,https://biobalance.tn/soins-capillaires/51-customizable-mug.html,https://biobalance.tn/107-large_default/customizable-mug.jpg
BB-WEB-66,8697711622427,Déodorant naturel roll-on 50 ml,"29,000",biobalance.tn,https://biobalance.tn/soins-personnels/66-customizable-mug.html,https://biobalance.tn/142-large_default/customizable-mug.jpg
BB-WEB-67,8697711740411,DRY & WHITE – Roll-On Naturel Éclaircissant 50 ml,"29,000",biobalance.tn,https://biobalance.tn/soins-personnels/67-customizable-mug.html,https://biobalance.tn/144-large_default/customizable-mug.jpg
BB-WEB-68,8697711622434,DRY & SPORT POUR HOMME ROLL-ON NATUREL 50 ML,"29,000",biobalance.tn,https://biobalance.tn/soins-personnels/68-customizable-mug.html,https://biobalance.tn/146-large_default/customizable-mug.jpg
BB-WEB-30,8697711602047,Super Lift Cream Moisturizer,"49,000",biobalance.tn,https://biobalance.tn/super-lift/30-customizable-mug.html,https://biobalance.tn/44-large_default/customizable-mug.jpg
BB-WEB-29,8697711602023,Super Glow Gel Cream Moisturizer,"49,000",biobalance.tn,https://biobalance.tn/supercreams-/29-customizable-mug.html,https://biobalance.tn/42-large_default/customizable-mug.jpg
BB-WEB-31,8697711602016,Super Pure Gel Cream Moisturizer,"49,000",biobalance.tn,https://biobalance.tn/supercreams-/31-customizable-mug.html,https://biobalance.tn/46-large_default/customizable-mug.jpg
